"","ONTOLOGY","TERM","N","DE","P.DE","FDR"
"GO:0007166","BP","cell surface receptor signaling pathway",2892,721.333333333333,0.000167472135565209,0.733363385134057
"GO:0042641","CC","actomyosin",79,36,0.000188465367999651,0.733363385134057
"GO:0002684","BP","positive regulation of immune system process",1049,266.333333333333,0.000189057125035322,0.733363385134057
"GO:0070160","CC","tight junction",126,47.5,0.000215335367100081,0.733363385134057
"GO:0030054","CC","cell junction",1288,361.333333333333,0.000223572102864766,0.733363385134057
"GO:0019904","MF","protein domain specific binding",700,204.5,0.000246858360599892,0.733363385134057
"GO:0005923","CC","bicellular tight junction",121,45.5,0.000282135087886633,0.733363385134057
"GO:0030097","BP","hemopoiesis",869,234,0.000303625138598032,0.733363385134057
"GO:0002520","BP","immune system development",963,257.5,0.000320663811843863,0.733363385134057
"GO:0048583","BP","regulation of response to stimulus",4140,987.5,0.000365239883190042,0.733363385134057
"GO:0035064","MF","methylated histone binding",61,25.5,0.000384681585068352,0.733363385134057
"GO:0140034","MF","methylation-dependent protein binding",61,25.5,0.000384681585068352,0.733363385134057
"GO:0048522","BP","positive regulation of cellular process",5314,1263.66666666667,0.000482913356790892,0.761029824631903
"GO:0048534","BP","hematopoietic or lymphoid organ development",911,244,0.00048422552484617,0.761029824631903
"GO:0038063","BP","collagen-activated tyrosine kinase receptor signaling pathway",10,8,0.000498992322834224,0.761029824631903
"GO:0046649","BP","lymphocyte activation",643,173.833333333333,0.000563168937678526,0.805225986704478
"GO:0002376","BP","immune system process",2860,662.5,0.000677682831944379,0.820923499548037
"GO:0048518","BP","positive regulation of biological process",6017,1412.16666666667,0.000682235227360364,0.820923499548037
"GO:0043296","CC","apical junction complex",141,50.5,0.000707851100763032,0.820923499548037
"GO:0001775","BP","cell activation",1345,333.666666666667,0.000731748679189424,0.820923499548037
